name,type,damage,effective_damage_range,fire_rate,vital_damage,bullet_velocity,vehicle_damage,movement_speed,ads_movement_speed,sprint_to_fire,ads_time,verticle_recoil,horizontal_recoil,centering_speed,idle_sway,flinch_resistence,hip_fire,reload_quickness,magazine_ammo_capacity,starting_ammo,ammo_capacity,penetration,concealment
STG,Assault Rifle,29,2000,600,43,885,20,10.7,6.5,217,230,66.7,27.2,2000,24,0.2,7.5,3,30,90,180,15,2
Automation,Assault Rifle,22,2550,833.3,33,885,15,10.7,6.3,250,265,58.9,24.5,2000,27,0.2,7,2.9,25,100,150,12,2
ITA Burst,Assault Rifle,29,2550,588.2,43,885,20,10.4,6.5,250,250,68.8,38.9,1800,24,0.2,9,2.9,20,60,120,32,2
BAR,Assault Rifle,40,2550,400,60,885,27,10.4,6.4,267,315,77.1,1.3,900,24,0.2,8,2.9,20,80,120,40,2
AS44,Assault Rifle,24,1350,923.1,40,885,17,10.7,6.2,250,263,40.7,64.8,1800,24,0.2,8,2.8,30,90,180,12,2
NZ-41,Assault Rifle,40,2000,500,60,885,27,10.7,6.5,250,300,49.9,93.4,1800,27,0.2,8,3,30,90,180,40,2
Volt,Assault Rifle,28,1100,750,42,885,19,10.8,7.9,217,190,67.9,11.1,1800,27,0.2,7,2.9,30,90,180,12,2
MP40,SMG,32,600,600,49,353,20,11.1,7.3,167,200,73.8,46.6,2000,35,0.2,6,2.5,32,96,192,6,2
Sten,SMG,29,600,666.7,42,353,18,11.4,8.9,167,180,95.2,12,2000,63,0.2,6,2.6,32,96,192,7.2,2
M1928,SMG,25,600,800,37,353,16,11,7,200,230,42.3,19.7,1300,107.8,0.2,6.4,3.4,50,150,300,14.4,2
Owen,SMG,43,800,500,49,353,21,10.9,6.4,167,200,88.8,41,2000,63,0.2,6,2.8,33,75,150,6,2
Type 100,SMG,22,800,750,35,353,14,11.1,7,167,240,71.7,13.8,2000,63,0.2,6,2.8,30,90,180,6,2
PPSH,SMG,27,500,952.4,40,353,17,11.1,7,200,205,51.7,61.7,1900,63,0.2,7.5,2.5,35,105,175,6,2
MG42,LMG,20,2000,1034,34,930,17,9.9,5.3,300,325,36.4,9.6,1500,-14,0.2,9.5,7.7,125,250,375,32,2
DP27,LMG,30,2000,800,45,930,26,10,5.3,300,440,24.7,33.6,1400,-14,0.2,10,6.5,63,126,252,32,2
Type 11,LMG,24,1350,750,48,930,21,10.7,6.4,300,325,43.2,13.1,1325,-14,0.2,9,4.5,30,90,180,12,2
Bren,LMG,34,2550,600,51,930,29,10,5.3,300,440,11.7,63.2,1100,-13,0.2,10.5,5.3,30,90,180,32,2
M1 Garande,Marksman Rifle,60,2500,300,90,930,120,10.7,4.3,300,330,111,0,766,33,0.6,9,3.7,8,32,48,13.2,2
SVT-40,Marksman Rifle,57,9999,200,114,930,114,10.5,4.3,300,450,135.9,63.4,1000,33,0.6,9.5,3,10,30,60,48,2
G-43,Marksman Rifle,34,9999,600,51,930,68,10.4,7.4,300,350,52,30,850,33,0.6,8.5,2.8,10,30,60,12.2,2
Type 99,Sniper Rifle,92,1350,40,184,930,184,10.4,4.5,333,541,104.9,124.9,1200,7.2,0.9,14,6.3,5,15,20,32,2
3-line,Sniper Rifle,92,16000,40,184,930,184,9.9,3.5,333,649,191,69.7,1800,7.2,0.9,19,6.5,5,15,30,32,2
Kar98,Sniper Rifle,92,16000,46.2,184,930,184,10.2,4.3,333,595,150.8,62.4,1400,7.2,0.9,17,6.4,5,15,30,32,2
Einhorn Revolving,Shotgun,50,200,300,55,365,50,10.4,6.7,283,300,49.6,157.4,1500,24,0.1,8,8.9,5,15,30,6,2
Combat Shotgun,Shotgun,100,250,81.9,110,365,100,10.4,6.7,283,250,231.1,107.8,1500,23,0.1,8,5.5,5,15,30,6,2
GraceyAuto,Shotgun,50,50,342.9,55,365,50,10.7,6.3,283,300,206.8,36.5,1300,24,0.1,8,5.8,5,15,30,6,2
Double Barrel,Shotgun,20,200,300,22,365,20,10.9,6.2,283,350,173.9,46.6,1500,24,0.1,7.5,3,2,24,32,6,2
